polaridad,texto
0,@emejota_qt un amigo trabajo ahí se encariño mucho con algunos jóvenes. De hecho te llevas una gran eeriencia
1,@lizdanielalina1 solo rt #QueremosERDLalas930pm no des corazón plis
2,@JessicaSolano veras que no es nada grave mejor ahora que le hagan todo... yo también por San Miguel sola
1,Ya pasó una semana de estar en Camaná y parece que hubiera llegado ayer recién que rápido se pasa todo
2,@Alexander_Isai0 pKAJAJAJJ yo me siento algo quemado y se mee anda pelando la nariz ahr por no ponerse bloqueador
2,Empezando un nuevo viaje #amoviajar
2,@vanessasaba75 que tengas un lindo jueves ...
2,Maldito maduro mil veces por su culpa tuve que salir del país y alejarme de ella
0,@SSLopezCano Es recíproco. Y eso que casi nos cae @enanagorda. La que se armaba.
2,@mariann505 jajajaja dale hacete la boluda vos jajaja igual a vos nunca se te puede tomar en serio te mando un abrazo desde Perú!
0,@Angiecava1995 Jajaja nooo lo digo porque me parece raro ... Sigo sin ánimos de beber
2,Feliz 2017!!! Cachen más y dejen de ser tan aguantad@s por Tuiter
2,@JimenaTagle sí como pasa el tiempo verdad? se siente nostalgia y a la misma ves una alegría inmensa Gracias @JimenaTagle !!!
2,@ivyjara Te extraño un monton amor
0,Creo que mi papá se ha enojado porque le dije que pasaría Año Nuevo con mi mamá y no con él
2,Lo bueno de mi plan es que tienen Internet ilimitado en 3G y 4G es ilimitado desde que lo contrate hace 5 años
1,¡Chica / chico material!! Que la salud y el dinero NUNCA falten este nuevo año #Feliz2017 \o/
2,@ItsCister y tambien feliz año aun q en mi pais aun no lo sea :V pero igual
2,Y bueno desde la chamba y tentado por los olores que vienen de casas vecinas: chancho al palo pavo al horno lechon... ¡Me dio hambre!
2,Me daré el abrazo de fin de año sola o khé? por qué se demoran tanto
0,Yo les deseo que sus deseos sean tan fuertes que se conviertan en voluntad... Feliz 2017!
2,Por cada detonación de pirotéxnicos a mi Morita parece darle un infarto ¡Terminen de una vez con eso!
2,@zophiap vaya manera de despedir este año... pero en otros lugares su bienvenida fue fatal
2,Esos primeros puestos para Nadine Alan y Keiko están bien ganados más bien creo que Ollanta debería estar más abajo. @Imapax
2,@habitssofmyhrt pero es muy trillado
0,Amo los vestidos largos y los enterizos
1,@Lupalma12 por favor mis innumerables tweets a las 345 de la mañana hablando webadas avalan mi reinado
2,@mistcinamontea claro que sí por eso deberían permitirlo (pero dentro de las 12 semanas para evitar algún riesgo como bien dices )
2,Bueno Bueno Nuevo año Espero q este año sea mejor q el anterior Y comenzare con ultra drivers
2,El huevin respectivo debido al feriado...vao a meter una caminata mas sus chelitas para al menos ver que hay abierto en la calle.
2,Recibir el año nuevo sin luz que sean las 10 y sigamos sin luz #micelmuere #notengobateria
0,Que rico año nuevo Huanchaco 2017 de aquí PUMA PUMKHU mañana me larrrrgo y ya tramitando mi Schenguen hay cruditas como me hacen feliz
1,@vanessasaba75 Feliz Año Bella! Las mejores vibras
2,Feliz año! Las mejores vibras y éxitos para este 2017! Cambio y fuera
2,@pattyulloque Feliz y saludable año nuevo
2,!Feliz año nuevo! este 2017 sea realmente un año muy lindo y maravilloso ^_^
2,Recibir este nuevo año en familia es lo más bonito y con un corazón agradecido por tanta bendición de nuestro amado Dios. #Feliz2017
1,No se porque hay gente tan renegara donde dice que fue el peor año.. no solo lloraron TAMBIÉN FUERON FELICES
0,Darth Vader no pudo y la muerte se la llevo. Qué triste sabee que Carrie Fisher se nos fue #CarrieFisher
0,Los ambulantes ya invadieron Gamarra...
0,Feliz Cumpleaños @unforesto ! Te deseo los mayores éxitos muchacho! . @YurikitoKSP un par de chelas heladas parfavar!
2,@BTS_twt yo lo estoy viendo ahora..porque tengo que esperar los subtitulos! ️ pero vale la peno...todo sea por el hermoso de V
2,Fabiola dijo que le pida trabajo a su papa en su constructora  uhmm era que vaya
2,Nunca me había dormido tanto en una película de timburton que raro
0, En esta NAVIDAD todo regalo es bueno decir te quiero es mejor; pero un regalo y un te quiero es mucho mejor 
1,@DavidJeffer06 Ay! Esas medias tan lindas
1,Feliz de ver a mis amigos felices #BuenaVibraAlFin
2,@Martinalonsor es que estoy sola
2,@ivyjara No te cambiaria  ni por la mujer más bella del mundo  Porqué Solo tengo ojos para ti
1,@ivyjara Sabes qué cuando jugue basket contigo  me senti Feliz  pero en mi cabeza tenia muchas dudas  si tu papá me aceptara o no
2,Un poquito amarga mama #UnaSemanaDel2017YYo #felizdiadereyes #OTConcierto #HablaVillaran #SIGUEMEYTESIGO
0,Estoy en @McDonalds_PER del parque kennedy y me he dado con la triste sorpresa que ya no dan el ají increíble ya nada es igual nada
0,Quiero un perro así porfiii.
2,Decepcionado  este dolor ya lo tengo acostumbrado
0,@ChenteOink jajajaja este es un plato del restauran de mi casa cuando quieras tienes tu descuento familiar
2,Adiós alcohol fue lindo mientras duro
2,Lo que decidas hacer. Asegúrate que te haga feliz #EsteVeranoDebería #SerIntenso
2,Caminar un rato siempre es bueno #gamers #paseo #disfrutalavida @ Miraflores
1,Lo bueno de ir al gym es que tu personal training sea muy muy guapa
1,Lo malo de no saber cocinar es que debes tolerar los suculentos platos preparados por tu hermana o simplemente no comer. #PornFood
0,Ricardito es un buen amigo y su abuelita necesita apoyo. RT por favor gracias BBVA: 0011-0057-0211103133
1,@Anthromet Nunca dije que el docente no enseña. Lo que me interesa es el alumno aprenda por ello el docente orienta el aprendizaje.
2,@Efrainpuntocom sígueme por ig por allá estoy más activa que aqui
2,“@Maagazu: @PierinaDiUre los sobrevivientes llenos de luz son vitales para el mundo!” Porque contagian esperanza
1,@nashi_awaji claro! Es una trilogía genial aunque depresiva Pero no se xq ayer cuando dijiste del Kage... tenía una mezcla en mi cabeza
2,Aahhh bueno gracias a todos por sus buenas vibras sí quede para el trabajo
2,@PoluxBlack en francia probé un ramen de bolsa que era más rico que Tokyo Ramen llévenme al primer mundo
1,#DalasCastigos No atendia en clase y la profesora para castigarme me mandaba a trabajar en el campo... maldita profesora
2,Entró una venezolana a trabajar en la empresa donde laboro. Me apena la crisis en su país está bien jodido todo allá.
0,@Brigittgt y con "las conozco" me refiero a Maria y Krisbell . Mandale mis saluditos somos ingratas todas
0,@Isaa5309 Sabíamos que en la mañana en el caso de SONE la mayoría trabaja y eso pero valía la pena al menos fuimos en Lima #TeamSNSD
2,@JesusEduardoG @xeilachvr @YouTube vi ese video hace un tiempo me pareció chevere . Pero no me gusta la canción
2,Peeeeeero que necesidad hay para que tanto problema. JAJAJA
2,Vamos Ame vamos....bahhh.....q mas da.....conence el año cansada..... quiero solo dormir hoy....
2,Oks no fue buena idea venir
0,Una de las cosas más maravillosas en mi mundo es salir tarde y llegar a tiempo
1,Amigos me sacaron la mierda hoy pero estoy feliz
2,Al callejerito Hércules le han medio destrozado el ojo derecho Ptm!!! Quien ha sido!!! Maldición quiero matar!!!
0,Pasajes Maleta Mis 3 potes de bronceador Alguien está emocionada excepto por dejar a Salem solito
2,@Elicrema He ahí el misterio del por qué no llegas a la fase REM resuelto.
2,3 de enero fecha mágica fecha viajera fecha de hacer sueños realidad
2,@BleuatreMil se muestran solitos no está difícil la cosa felizmente
1,@jibajawo Espero que para ti tbn sea un buen año.
2,@joannabolona trankila colorada ya saldra el sol paciencia
2,@xeilachvr @YurikitoKSP jajaja ya somos un pollito! La próxima semana? a ver que dice @unforesto
2,Que tortura tener que ir al Icpna temprano justo en mi semana de vacaciones del trabajo
0,Sí suelo ser indiferente y despistada a varias cosas personalidades y actitudes sobretodo las que no me interesan. Vivo con los mios
2,@jbendezu Hola Javier. Te escribimos la vez pasada indicando que será en la conferencia anual de Los Productores.
2,Que histérico es la bestia pobre bella
0,Toca ir a trabajar así me duela el tobillo necesito el dinero ya que ahora es mi único ingreso.
2,Mi mamá me acaba de robar mi oso de peluche Pero tengo a mi bello Snorlax
2,Buen año nuevo gracias.... @alesalazarm @marielaslazar @romi_rb5 @AnikaJohana #conlasmejores
2,Debo dejar de hacer bromas porque cuando hable en serio no me creerán
2,Me hacen feliz estos momentos
1,Quiero decirte hola como estas? Pero... los check azulitos me dan miedo
2,RIP Dean "pestañas perfectas" Winchester. Ya sé que va a regresar en el siguiente capítulo pero igual
2,Primera reunión del equipo... "¿Qué Tiene Miguel?" Pronto!!!! @ Ginebra
2,Tantos argentinos y @triedtodomeache no viene
2,@VaneCastilloP No creo que tanto ah. Lo que sí es que será mucho más placentero.
1,@EchavarriaNaya y lo bueno que no engordo
1,Lo malo de no poder dormir es que a estas horas no tengo a quien molestar todos duermen.
0,No tomo alcohol y siento que mi cuerpo esta adormecido
2,@mariagraciav gracias! y aun no se que dia pero creo que el 12/13 estare libre en Lima
2,Es criminal que me hagan caminar tanto hoy
0,@JesusAlzamora No yo no lo senti pero dicen que fue de 4... lo bueno es que siempre hay que estar atentos
2,@zombiepolares oye no que feo
0,No soy celosa sólo marcó mi territorio
2,Pasan los años pero las resacas siguen siendo un misterio. Ayer tomé ron puro y me he levantado tan pancho tan fresco. Aquí no pasó nada
2,Que lindo es levantarse sin resaca
1,Escuchando soundtracks antiguos... primero en nostalgia y ahora caigo en depresión.
0,Lilo y Stich Somos ohana #Ohana #Familia #LiloyStich
2,Fragmento del regalo de navidad de mi Mami ELLA SI SABE. Como escribir libros sin escribir ninguno by OSHO
1,Espero llegar al work estoy dms cansada
2,escucho una canción romántica de esas que serían hermosas dedicar pero no hay nadie en quién pensar Nadie me gusta carajo
2,Cuidando mi cachete derecho para que ne salga un grano en el izquierdo
2,¿Alguien de buen corazón que quiera hacerse el desayuno?
2,Pasa la noche conmigo bonita y quédate mañana todo el día
2,Me he en encontrado como 8761653729751528763 Colombianos entre Lima y Nasca Perú.
2,Me esta encantando la animacion encerio :) Cuando veo el final me da un poco ganas de llorar :) Bueno solo me falta background y texto
